titel;bedrag
[text];[MEUR/Yr]
AardGas_CO2Woning;0
AardGas_CO2UitlegWoning;0
AardGas_CO2Utiliteit;0
AardGas_CO2UitlegUtil;0
AardGas_CO2Glastuinbouw;0
AardGas_CO2UitlegGlTb;0
Elektriciteit_CO2Woning;81.5980375
Elektriciteit_CO2UitlegWoning;41.2556814
Elektriciteit_CO2Utiliteit;135.634439
Elektriciteit_CO2UitlegUtil;19.6974314
Elektriciteit_CO2Glastuinbouw;27.7031913
Elektriciteit_CO2UitlegGlTb;0
Elektriciteit_CO2WKO;16.1232097
