'BU_CODE';'V01_Strategievariant'
'BU00740302';
'BU00740401';
'BU00740402';
'BU00740403';
'BU00740404';
'BU00740405';
'BU00740406';
'BU00740407';
'BU00740601';
'BU00740701';
'BU00740702';
'BU00740901';
'BU00740902';
'BU00740903';
'BU00801001';
'BU00801002';
'BU00801003';
'BU00801004';
'BU00801005';
'BU00801006';
'BU00801007';
'BU00801008';
'BU00801101';
'BU00801102';
'BU00801103';
'BU00801104';
'BU00801105';
'BU00801106';
'BU00801107';
'BU00801108';
'BU00801109';
'BU00802001';
'BU00802002';
'BU00802003';
'BU00802004';
'BU00802005';
'BU00802006';
'BU00802007';
'BU00802008';
'BU00802009';
'BU00803001';
'BU00803002';
'BU00803003';
'BU00803004';
'BU00803005';
'BU00803006';
'BU00803007';
'BU00803101';
'BU00803102';
'BU00803201';
'BU00803202';
'BU00803203';
'BU00804001';
'BU00804002';
'BU00804003';
'BU00804004';
'BU00804101';
'BU00804102';
'BU00804103';
'BU00804104';
'BU00804105';
'BU00804106';
'BU00804107';
'BU00804108';
'BU00804109';
'BU00804110';
'BU00805001';
'BU00805002';
'BU00805003';
'BU00805101';
'BU00805102';
'BU00805103';
'BU00805104';
'BU00805105';
'BU00806001';
'BU00806002';
'BU00806003';
'BU00806101';
'BU00806102';
'BU00806201';
'BU00806202';
'BU00806203';
'BU00806204';
'BU00806205';
'BU00806206';
'BU00806207';
'BU00806208';
'BU00806209';
'BU00806210';
'BU00806301';
'BU00806302';
'BU00806303';
'BU00806304';
'BU00806305';
'BU00806306';
'BU00806307';
'BU00807001';
'BU00807002';
'BU00807003';
'BU00807004';
'BU00807101';
'BU00807201';
'BU00807202';
'BU00807203';
'BU00807301';
'BU00807302';
'BU00807303';
'BU00807304';
'BU00807305';
'BU00807401';
'BU00808001';
'BU00808002';
'BU00808003';
'BU00808004';
'BU00808005';
'BU00808006';
'BU00808007';
'BU00808008';
'BU00808101';
'BU00808102';
'BU00808103';
'BU00808104';
'BU00808105';
'BU00808106';
'BU00808107';
'BU00808108';
'BU00808109';
'BU00808110';
'BU00808111';
'BU00808112';
'BU00808113';
'BU00808114';
'BU00808115';
'BU00808116';
'BU00808117';
'BU00808201';
'BU00808202';
'BU00808203';
'BU00808204';
'BU00808205';
'BU00808206';
'BU00808207';
'BU00808208';
'BU00808209';
'BU00850101';
'BU00850102';
'BU00850103';
'BU00850104';
'BU00850105';
'BU00850106';
'BU00850107';
'BU00850108';
'BU00850109';
'BU00850110';
'BU00850111';
'BU00850201';
'BU00850202';
'BU00850203';
'BU00850301';
'BU00850302';
'BU00850401';
'BU00850402';
'BU00850501';
'BU00850502';
'BU00850601';
'BU00850602';
'BU00850603';
'BU00850604';
'BU00850605';
'BU00850606';
'BU00850607';
'BU00850608';
'BU00850701';
'BU00850702';
'BU00850801';
'BU00850802';
'BU00850901';
'BU00850902';
'BU00851001';
'BU00851002';
'BU00851003';
'BU00851101';
'BU00851102';
'BU00851103';
'BU00851104';
'BU00851105';
'BU00851106';
'BU00851107';
'BU00851108';
'BU00851109';
'BU00851110';
'BU00851111';
'BU00851112';
'BU00851113';
'BU00851114';
'BU00851115';
'BU00851116';
'BU00851117';
'BU00851118';
'BU00851201';
'BU00851202';
'BU00851301';
'BU00851302';
'BU00860101';
'BU00860102';
'BU00860103';
'BU00860201';
'BU00860202';
'BU00860203';
'BU00860204';
'BU00860205';
'BU00860206';
'BU00860207';
'BU00860208';
