Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;40.2146182;0;40.2146182;0;0;0;0;0;0;29.9839328;5.72148399;0;0;4.50920144;0
Gas;458.121168;0;458.121168;274.435284;7.55162226;87.7111284;1.24664489;76.6123481;0;8.10376563;1.54634702;0;0;0.914027319;0
Elektra;248.985441;0;248.985441;78.7020428;12.6254589;122.295223;3.9047748;24.9328722;0;0;0;7.65236964;0;-1.12730036;0
RestWarmte;29.9839328;38.0876984;-8.10376563;10.9438182;1.43254853;12.1403281;0.0732390667;5.39399891;0;0;0;0;0;0;0
GeoThermie;5.72148399;7.26783101;-1.54634702;1.07946887;0.0061406732;4.60875492;0.00594324244;0.0211762813;0;0;0;0;0;0;0
WKO;20.770396;7.65236964;13.1180264;0;16.6357252;4.13467077;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;3.38190108;4.2959284;-0.914027319;0.411067065;0.00296071045;2.95863364;0.00923966694;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
