Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;549.557688;0;549.557688;62.4520545;0;5.12289551;0;0;0;66.7151746;53.0940916;339.084017;0;23.0894545;0
LokaleOpwekking;149.271932;0;149.271932;0;0;0.777543606;0;0;0;136.939011;0.000548308882;0;0;11.5548287;0
Gas;7176.53264;0;7176.53264;4241.3456;140.119596;1356.50794;31.6956738;755.23073;0;85.2623682;16.2696227;0;0;9.61678032;540.48433
Elektra;8252.80785;0;8252.80785;3214.96023;566.041614;3627.75322;114.727103;569.446908;0;0;0;186.285943;0;-19.7277563;-6.6794188
RestWarmte;729.346426;680.54751;48.7989153;281.558922;39.701411;345.243212;4.47578426;58.3670963;0;0;0;0;0;0;0
GeoThermie;150.716253;133.526518;17.1897352;28.9636759;0.22007169;120.936361;0.367001397;0.229143177;0;0;0;0;0;0;0
WKO;963.624448;699.627043;263.997405;0;792.839321;170.785127;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;97.0296939;90.9893529;6.04034102;10.833074;0.114920842;85.5053038;0.576395295;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;194.157872;0;194.157872;0;-168.942487;0.432251553;0;0;0;273.174159;34.7565083;3.82134367;0;50.916096;0
CO2 Heffing;69.4757614;0;69.4757614;21.8616786;3.50707191;33.9708952;1.08465967;6.92579783;0;0;0;2.12565823;0;0;0
Energie heffing;5892.28239;533.804911;5358.47748;3996.91993;194.853727;1346.31239;66.0695741;140.60141;0;58.6338808;11.1884192;71.0897149;0;6.61334142;0
BTW;2946.63858;0;2946.63858;2485.68408;364.853524;0;0;0;0;43.7754528;4.23690767;44.9094775;0;3.1791407;0
RisicoPremie;175.232543;0;175.232543;14.4926332;51.7287836;16.8911167;4.03376974;4.76837158E-13;0;16.0474638;13.9804204;52.3108881;0;5.74746762;0
