Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;141.008877;0;141.008877;0;0;0;0;0;0;141.008877;0;0;0;0;0
Gas;23188.3131;0;23188.3131;13890.8475;382.233771;4439.59645;63.1003197;3877.81932;0;410.181123;78.2700768;0;0;46.2645107;0
Elektra;14247.5002;0;14247.5002;4503.50579;722.456813;6998.0044;223.439891;1426.71435;0;0;0;437.885596;0;-64.5066317;0
RestWarmte;551.19;551.19;0;201.178517;26.3343181;223.173774;1.34634244;99.1570477;0;0;0;0;0;0;0
GeoThermie;78.2700768;78.2700768;-1.42108547E-14;14.7671673;0.0840045981;63.047909;0.0813037392;0.289692179;0;0;0;0;0;0;0
WKO;437.885596;437.885596;5.68434189E-14;0;350.717649;87.1679469;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;-18.242121;-18.242121;0;-2.21731356;-0.0159702005;-15.958998;-0.0498391638;-0;-0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
