woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282082;1093;332;0;233;0;280424
vrijstaand_tussen 1946 en 1965 ;141952;409;115;0;182;0;141246
vrijstaand_tussen 1965 en 1974 ;113573;352;59;0;164;0;112998
vrijstaand_tussen 1975 en 1991 ;183010;1458;46;0;211;0;181295
vrijstaand_tussen 1992 en 2005 ;188545;4998;69;0;211;0;183267
vrijstaand_tussen 2006 en 2014 ;81883;2841;21;0;49;0;78972
2 onder 1 kap_voor 1946 ;176115;1273;565;0;372;0;173905
2 onder 1 kap_tussen 1946 en 1965 ;136383;548;105;0;184;0;135546
2 onder 1 kap_tussen 1965 en 1974 ;87301;122;10;0;58;0;87111
2 onder 1 kap_tussen 1975 en 1991 ;121777;1563;36;0;74;0;120104
2 onder 1 kap_tussen 1992 en 2005 ;99519;4755;26;0;63;0;94675
2 onder 1 kap_tussen 2006 en 2014 ;52565;2381;29;0;25;0;50130
rijwoning hoek_voor 1946 ;128374;2068;1063;0;309;0;124934
rijwoning hoek_tussen 1946 en 1965 ;144777;709;137;0;136;0;143795
rijwoning hoek_tussen 1965 en 1974 ;174392;665;18;0;22;0;173687
rijwoning hoek_tussen 1975 en 1991 ;316787;15601;134;0;49;0;301003
rijwoning hoek_tussen 1992 en 2005 ;128922;13778;37;0;41;0;115066
rijwoning hoek_tussen 2006 en 2014 ;69433;3594;45;0;17;0;65777
rijwoning tussen_voor 1946 ;338149;12517;5637;0;1414;0;318581
rijwoning tussen_tussen 1946 en 1965 ;274245;1672;334;0;221;0;272018
rijwoning tussen_tussen 1965 en 1974 ;362099;2691;69;0;35;0;359304
rijwoning tussen_tussen 1975 en 1991 ;718887;47508;382;0;112;0;670885
rijwoning tussen_tussen 1992 en 2005 ;360639;50149;225;0;83;0;310182
rijwoning tussen_tussen 2006 en 2014 ;182814;12620;117;0;69;0;170008
meergezins: laag en midden_voor 1946 ;384789;21687;9811;0;2886;0;350405
meergezins: laag en midden_tussen 1946 en 1965 ;226810;4544;1391;0;403;0;220472
meergezins: laag en midden_tussen 1965 en 1974 ;150943;4218;1331;0;69;0;145325
meergezins: laag en midden_tussen 1975 en 1991 ;426942;33514;4705;0;1640;0;387083
meergezins: laag en midden_tussen 1992 en 2005 ;257573;14037;1546;0;920;0;241070
meergezins: laag en midden_tussen 2006 en 2014 ;389833;26248;2491;0;818;0;360276
meergezins: hoog_voor 1946 ;186205;20317;1488;0;790;0;163610
meergezins: hoog_tussen 1946 en 1965 ;143487;7465;801;0;66;0;135155
meergezins: hoog_tussen 1965 en 1974 ;250307;7650;474;0;61;0;242122
meergezins: hoog_tussen 1975 en 1991 ;153599;18344;1917;0;632;0;132706
meergezins: hoog_tussen 1992 en 2005 ;145317;20367;1260;0;515;0;123175
meergezins: hoog_tussen 2006 en 2014 ;76949;9426;448;0;130;0;66945
