UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71431295.9;602757.073;43149003.3;193454.759;0;0;36017506.2;13951837.4;100296.038;15513934.8;0;5654266.65
Winkel;52861541.9;2;35355348.6;2;0;0;21466805.3;8756909.31;156956.009;16751281.5;0;5729587.78
Gezondheidszorg;21553850.3;26627.295;13490992.8;26627.295;0;0;9733205.7;4106440.25;87830.1481;6312609.97;0;1287136.95
Logies;14530265.2;82;8514227.57;82;0;0;7303808.37;2670623.82;37730.4006;3550427.22;0;967593.37
Onderwijs;38849237.2;28;26524915.3;28;0;0;14440641.8;8361398.65;83263.176;14374563;0;1589342.58
Industrie;41075319.5;43.7389356;20981974.4;43.7389356;0;0;23212702.7;8177289.97;372320.976;8365940.07;0;947022.028
Bijeenkomst;33366779.6;8827.71328;25327560.4;8827.71328;0;0;10085064.3;4938223.95;110337.775;11494011.4;0;6730314.46
Sport;13133561;0;8453471.71;0;0;0;5806146.19;3831384.22;57487.7661;3166780.04;0;271762.746
overige_gebruiks;37161472.2;0;21477686.9;0;0;0;18146504.6;5571350.73;152783.841;11661096.8;0;1629736.17
Cel;891825.209;138923.084;540486.304;2240.08399;0;3657;596836.904;232663.855;0;56427.365;0;0
