UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71431295.9;0;0;0;193454.759;0;0
Winkel;52861541.9;0;0;0;2;0;0
Gezondheidszorg;21553850.3;0;0;0;26627.295;0;0
Logies;14530265.2;0;0;0;82;0;0
Onderwijs;38849237.2;0;0;0;28;0;0
Industrie;41075319.5;0;0;0;43.7389356;0;0
Bijeenkomst;33366779.6;0;0;0;8827.71328;0;0
Sport;13133561;0;0;0;0;0;0
overige_gebruiks;37161472.2;0;0;0;0;0;0
Cel;891825.209;0;0;0;2240.08399;0;0
