Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;153.167339;0;153.167339;0;0;0;0;0;0;153.167339;0;0;0;0;0
Gas;21642.7257;0;21642.7257;12438.0872;889.434495;3841.42724;273.22052;3657.85562;0;403.545158;96.4380443;0;0;42.7173972;0
Elektra;3816.5276;0;3816.5276;979.176449;431.470357;1613.60236;236.842499;332.438296;0;0;0;236.875897;0;-13.8782655;0
RestWarmte;556.712497;556.712497;0;192.681089;40.6990701;222.135333;5.18091612;96.0160883;0;0;0;0;0;0;0
GeoThermie;96.4380443;96.4380443;1.42108547E-14;16.4678962;1.78741048;76.744551;1.0306256;0.407560989;0;0;0;0;0;0;0
WKO;236.875897;236.875897;0;0;213.351197;23.3254329;0.199267391;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;28.8391317;28.8391317;3.55271368E-15;3.56109026;0.177869218;24.7260369;0.374135338;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
