Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;1610.13154;0;1610.13154;54.0031511;0;35.2236001;0;0;0;73.3622475;71.8144979;1352.63859;0;23.0894545;0
LokaleOpwekking;185.994596;0;185.994596;0;0;10.737843;0;0;0;140.172842;0.00081265632;0;0;35.0830987;0
Gas;6689.85071;0;6689.85071;3396.27123;300.180515;1063.12132;133.948427;582.242935;0;69.5246339;16.6147941;0;0;7.35955158;1120.58731
Elektra;11455.1334;0;11455.1334;3509.3009;1675.45846;4432.65592;657.625468;742.591854;0;0;0;557.389859;0;-25.4434867;-94.4455321
RestWarmte;680.194293;670.878668;9.31562553;237.09436;55.1319785;326.788183;15.1188347;46.0609366;0;0;0;0;0;0;0
GeoThermie;183.68296;171.143852;12.5391076;29.1325767;4.54368985;145.576058;4.16091117;0.269724373;0;0;0;0;0;0;0
WKO;2638.82185;2388.68667;250.135185;0;2414.55741;222.370572;1.89386891;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;86.6668343;106.395883;-19.7290488;9.17162132;0.657435954;74.707196;2.13058099;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;-85.8153996;0;-85.8153996;0;-456.77061;5.96937495;0;0;0;263.751192;43.8122011;6.38793948;0;51.0345029;0
CO2 Heffing;319.200488;0;319.200488;81.5980375;35.9558631;134.466864;19.7368749;27.7031913;0;0;0;19.7396581;0;0;0
Energie heffing;6031.19639;1026.14178;5005.05461;3654.73362;483.797549;1264.32298;243.573336;135.5211;0;57.6852941;13.7854633;171.670756;0;6.10629461;0
BTW;3521.77237;0;3521.77237;2299.92392;1043.75941;0;0;0;0;48.6825885;6.34900134;119.733367;0;3.32408609;0
RisicoPremie;515.010319;0;515.010319;12.5537023;233.170219;46.6296037;19.2209613;3.57627869E-13;0;17.69987;18.7670816;161.126499;0;5.84238161;0
