UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;12344697.2;5113951.29;0;2944372.81;3769018.12;43287648.7
Winkel;52034666.5;5308632.74;2872960.34;0;914409.043;2428521.84;40509833.3
Gezondheidszorg;21502186.4;1558759.97;1590994.44;0;531261.377;2424347.33;15008518.4
Logies;14519620.5;708554.506;287563.03;0;984942.801;948661.26;11461204.8
Onderwijs;38848790.7;3699100.42;724073.428;0;121592.335;3427159.79;30873069.6
Industrie;40951472.9;3428955.27;864206.308;0;319315.782;4818888.09;31511690.9
Bijeenkomst;33294920.4;3447533.55;1085957.47;0;541291.651;1641639.26;25556712.3
Sport;13103142.8;621546.391;118137.072;0;93009.3024;926086.848;11344363.2
overige_gebruiks;37069925;4459523.65;867666.856;0;361352.744;3276766.45;28104577.4
Cel;891079.424;117063.914;21609;0;52979;126996.462;565201.001
