woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;278256;1121;447;0;227;0;276461
vrijstaand_tussen 1946 en 1965 ;135464;407;163;0;173;0;134721
vrijstaand_tussen 1965 en 1974 ;109471;365;98;0;163;0;108845
vrijstaand_tussen 1975 en 1991 ;180883;1484;204;0;210;0;178985
vrijstaand_tussen 1992 en 2005 ;186803;5020;180;0;208;0;181395
vrijstaand_tussen 2006 en 2014 ;81056;2847;85;0;49;0;78075
2 onder 1 kap_voor 1946 ;171870;1271;674;0;359;0;169566
2 onder 1 kap_tussen 1946 en 1965 ;121567;523;130;0;174;0;120740
2 onder 1 kap_tussen 1965 en 1974 ;81884;122;26;0;58;0;81678
2 onder 1 kap_tussen 1975 en 1991 ;120114;1567;68;0;74;0;118405
2 onder 1 kap_tussen 1992 en 2005 ;98620;4759;68;0;63;0;93730
2 onder 1 kap_tussen 2006 en 2014 ;51962;2388;94;0;25;0;49455
rijwoning hoek_voor 1946 ;119419;1820;1124;0;308;0;116167
rijwoning hoek_tussen 1946 en 1965 ;111090;597;163;0;134;0;110196
rijwoning hoek_tussen 1965 en 1974 ;151383;603;27;0;22;0;150731
rijwoning hoek_tussen 1975 en 1991 ;310009;15492;204;0;49;0;294264
rijwoning hoek_tussen 1992 en 2005 ;126072;13622;95;0;41;0;112314
rijwoning hoek_tussen 2006 en 2014 ;67124;3597;121;0;17;0;63389
rijwoning tussen_voor 1946 ;307210;11254;5694;0;1413;0;288849
rijwoning tussen_tussen 1946 en 1965 ;202124;1286;427;0;220;0;200191
rijwoning tussen_tussen 1965 en 1974 ;309402;2404;84;0;35;0;306879
rijwoning tussen_tussen 1975 en 1991 ;701344;47042;467;0;112;0;653723
rijwoning tussen_tussen 1992 en 2005 ;351522;49455;396;0;82;0;301589
rijwoning tussen_tussen 2006 en 2014 ;175722;12592;300;0;69;0;162761
meergezins: laag en midden_voor 1946 ;360166;21407;10110;0;2874;0;325775
meergezins: laag en midden_tussen 1946 en 1965 ;185490;4042;1726;0;313;0;179409
meergezins: laag en midden_tussen 1965 en 1974 ;137353;3431;1667;0;69;0;132186
meergezins: laag en midden_tussen 1975 en 1991 ;400046;32852;5782;0;1598;0;359814
meergezins: laag en midden_tussen 1992 en 2005 ;244415;13829;1939;0;898;0;227749
meergezins: laag en midden_tussen 2006 en 2014 ;372837;25933;3240;0;809;0;342855
meergezins: hoog_voor 1946 ;182398;20271;1523;0;790;0;159814
meergezins: hoog_tussen 1946 en 1965 ;134060;7539;984;0;66;0;125471
meergezins: hoog_tussen 1965 en 1974 ;217347;5993;712;0;61;0;210581
meergezins: hoog_tussen 1975 en 1991 ;145989;17978;1999;0;632;0;125380
meergezins: hoog_tussen 1992 en 2005 ;138803;20156;1680;0;515;0;116452
meergezins: hoog_tussen 2006 en 2014 ;72992;9528;773;0;130;0;62561
