WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;53809.4532;2218.12213;163.620573;0;23.5939961;10189.8822;41214.2343
vrijstaand/bungalows;311659.724;7792.9707;361.153808;0;85.1924194;210695.593;92724.8145
twee onder een kap;313355.819;9361.8928;376.498133;0;84.2752664;235041.659;68491.494
rijtjeshuizen/eengezins;1070323.49;37918.0558;1927.03643;0;333.329076;934855.398;95289.6663
flats 4 of minder verdiepingen;291867.99;13217.8458;1019.45575;0;121.041858;184785.583;92724.0642
flats meer dan 4 verdiepingen;152459.521;8189.7512;626.118484;0;43.3458476;104289.827;39310.4786
etagewoning/maisonnette;162000.115;7756.59713;627.984864;0;53.8490534;93536.6274;60025.0563
etage/flats grachtenpand;16891.3434;847.186557;70.5135407;0;5.07409728;1793.79835;14174.7709
herenhuis grachtenpand;39696.0788;1723.23092;131.661628;0;15.6792224;5713.65999;32111.847
zelfstandige bejaardenwoning;74521.0235;3399.42797;262.934332;0;23.3292928;27948.1082;42887.2238
boerderij/tuinderij;32098.5567;822.666728;71.7418372;0;12.8026381;1191.59628;29999.7492
studentenwoning/flat;15614.4597;962.163809;46.67261;0;3.28837978;4447.53529;10154.7996
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;80670.4779;3046.3784;222.110725;0;33.4175545;12593.1718;64775.3994
