UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;3234139.45;42375562.7;2738210.45;0;1052997.22;35428160.5;13702549.8;99524.3092;14737829.9;0;2438626.37
Winkel;52034666.5;272.629935;34795797.3;309.266646;0;0;21138568.2;8624548.19;155827.129;16457379.5;0;5658034.13
Gezondheidszorg;21502186.4;309341.198;13458994.4;388304.903;0;3526.5103;9709872.46;4092776.32;87631.1542;6244975.3;0;975099.731
Logies;14519620.5;125976.896;8506122.93;128694.121;0;0;7300156.59;2668047.36;37728.287;3479308.47;0;905685.699
Onderwijs;38848790.7;3630.85301;26525932.4;3795.07111;0;0;14437953.7;8363501.21;83281.5819;14370700.4;0;1589558.68
Industrie;40951472.9;7989.16256;20902273.4;8416.51791;0;0;23158917.7;8146057.95;371358.358;8334148.72;0;932573.596
Bijeenkomst;33294920.4;962840.166;25272249.5;1021786.2;0;0;10061257.7;4919956.03;110075.314;10482195.1;0;6699650.12
Sport;13103142.8;0;8434389.36;0;0;0;5791606.03;3823273.7;57366.5073;3159647.31;0;271249.268
overige_gebruiks;37069925;37.9065787;21419059.4;37.9065787;0;0;18107120.2;5557865.32;152498.491;11627605.6;0;1624797.53
Cel;891079.424;34763.5858;540109.392;7230.04622;0;38917.9547;596468.031;232507;0;15956.3917;0;0
