Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;159.224973;0;159.224973;0;0;0;0;0;0;159.224973;0;0;0;0;0
Gas;22398.7978;0;22398.7978;13460.5478;351.605447;4054.90062;62.3739147;3877.43909;0;420.21539;95.81693;0;0;75.8986126;0
Elektra;14221.5944;0;14221.5944;4503.50579;723.365794;6996.9441;223.439891;1426.71435;0;0;0;453.449961;0;-105.825476;0
RestWarmte;579.440363;579.440363;0;211.518929;28.3710141;236.171391;1.62644386;101.752585;0;0;0;0;0;0;0
GeoThermie;95.81693;95.81693;0;18.8000806;0.378177653;76.1454511;0.123737972;0.369482708;0;0;0;0;0;0;0
WKO;453.449961;453.449961;0;0;358.005118;95.444843;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;-29.926863;-29.926863;0;-4.84408238;-0.0533591099;-24.9801009;-0.0402088088;-0.00911179075;-0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
