Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;872.240001;0;872.240001;268.308882;0;43.767786;0;0;0;84.7774088;74.4058967;358.486695;0;42.4933329;0
LokaleOpwekking;197.798387;0;197.798387;0;0.692327999;4.05602609;0;0;0;174.093245;0.00067123064;0;0;18.9561167;0
Gas;7067.06519;0;7067.06519;4140.21181;129.742661;1249.79771;31.3262253;755.156677;0;87.3481429;19.9170023;0;0;15.7766779;637.788282
Elektra;8245.38233;0;8245.38233;3214.96023;566.442552;3627.40637;114.727103;569.446908;0;0;0;192.74271;0;-32.3641018;-7.97944041
RestWarmte;862.686478;788.621832;74.0646454;328.327446;47.5365031;406.147209;5.58227109;75.0930483;0;0;0;0;0;0;0
GeoThermie;214.380617;187.911282;26.4693345;42.1558384;1.09767515;170.162775;0.588330523;0.375997704;0;0;0;0;0;0;0
WKO;1070.92702;734.296812;336.630205;0;867.220166;203.706852;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;179.149593;164.967738;14.1818549;27.0203789;0.40705394;151.186069;0.512575294;0.0235162168;0;0;0;0;0;0;0
Onderhoud & Verbruik;260.378966;0;260.378966;0;-171.756273;2.25482347;0;0;0;289.267592;48.4470431;4.10246447;0;88.0633161;0
CO2 Heffing;69.550582;0;69.550582;21.8616786;3.51148444;33.9657481;1.08465967;6.92579783;0;0;0;2.2012134;0;0;0
Energie heffing;7186.95922;629.808842;6557.15038;4775.6441;212.623476;1550.58883;69.85924;382.630025;0;86.2989159;19.677759;74.0497012;0;15.5871683;0
BTW;3159.85468;0;3159.85468;2671.75981;384.228343;0;0;0;0;46.2873943;5.88696804;45.8902015;0;5.80195739;0
RisicoPremie;265.653822;0;265.653822;59.1941276;52.5115394;42.3109136;4.03506758;-9.53674316E-13;0;20.5491337;19.5759417;56.8238273;0;10.6532709;0
