UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71431295.9;5402991.57;43149003.3;695705.692;0;0;40315487.8;13951831.5;100292.038;15457190.1;0;910788.778
Winkel;52861541.9;8.8352164;35355348.6;8.8352164;0;0;21466805.3;8756909.31;156956.009;16751277.7;0;5729584.78
Gezondheidszorg;21553850.3;538111.986;13490992.8;232684.248;0;0;10038633.4;4106440.25;87830.1481;6299948.24;0;788313.98
Logies;14530265.2;4334.55181;8514227.57;4334.55181;0;0;7303806.37;2670623.82;37730.4006;3550145.22;0;963624.818
Onderwijs;38849237.2;42;26524915.3;42;0;0;14440641.8;8361398.65;83263.176;14374563;0;1589328.58
Industrie;41075319.5;115.376559;20981974.4;115.376559;0;0;23212702.7;8177289.97;372320.976;8365930.12;0;946960.343
Bijeenkomst;33366779.6;267983.049;25327560.4;267983.049;0;0;10084811.5;4937910.12;110304.775;11236034.5;0;6729735.66
Sport;13133561;0;8453471.71;0;0;0;5806146.19;3831384.22;57487.7661;3166780.04;0;271762.746
overige_gebruiks;37161472.2;0;21477686.9;0;0;0;18146504.6;5571350.73;152783.841;11661096.8;0;1629736.17
Cel;891825.209;171261.159;540486.304;5722.89589;0;165538.263;463810.904;232663.855;0;24089.2903;0;0
