woningtype_bouwjaarklasse;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282082;0;0;0;0;0;0
vrijstaand_tussen 1946 en 1965 ;141952;0;0;0;0;0;0
vrijstaand_tussen 1965 en 1974 ;113573;0;0;0;0;0;0
vrijstaand_tussen 1975 en 1991 ;183010;0;0;0;0;0;0
vrijstaand_tussen 1992 en 2005 ;188545;0;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;81883;0;0;0;0;0;0
2 onder 1 kap_voor 1946 ;176115;0;0;0;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;136383;0;0;0;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;87301;0;0;0;0;0;0
2 onder 1 kap_tussen 1975 en 1991 ;121777;0;0;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;99519;0;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;52565;0;0;0;0;0;0
rijwoning hoek_voor 1946 ;128374;0;0;0;0;0;0
rijwoning hoek_tussen 1946 en 1965 ;144777;0;0;0;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;174392;0;0;0;0;0;0
rijwoning hoek_tussen 1975 en 1991 ;316787;0;0;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;128922;0;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;69433;0;0;0;0;0;0
rijwoning tussen_voor 1946 ;338149;0;0;0;0;0;0
rijwoning tussen_tussen 1946 en 1965 ;274245;0;0;0;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;362099;0;0;0;0;0;0
rijwoning tussen_tussen 1975 en 1991 ;718887;0;0;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;360639;0;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;182814;0;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;384789;0;0;0;0;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;226810;0;0;0;0;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;150943;0;0;0;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;426942;0;0;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;257573;0;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;389833;0;0;0;0;0;0
meergezins: hoog_voor 1946 ;186205;0;0;0;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;143487;0;0;0;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;250307;0;0;0;0;0;0
meergezins: hoog_tussen 1975 en 1991 ;153599;0;0;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;145317;0;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;76949;0;0;0;0;0;0
