woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282082;1348;517;0;612;0;279605
vrijstaand_tussen 1946 en 1965 ;141952;538;168;0;522;0;140724
vrijstaand_tussen 1965 en 1974 ;113573;428;141;0;327;0;112677
vrijstaand_tussen 1975 en 1991 ;183010;1631;150;0;498;0;180731
vrijstaand_tussen 1992 en 2005 ;188545;5036;193;0;410;0;182906
vrijstaand_tussen 2006 en 2014 ;81883;2871;101;0;101;0;78810
2 onder 1 kap_voor 1946 ;176115;1478;772;0;732;0;173133
2 onder 1 kap_tussen 1946 en 1965 ;136383;668;154;0;432;0;135129
2 onder 1 kap_tussen 1965 en 1974 ;87301;181;29;0;140;0;86951
2 onder 1 kap_tussen 1975 en 1991 ;121777;1597;55;0;163;0;119962
2 onder 1 kap_tussen 1992 en 2005 ;99519;4767;77;0;123;0;94552
2 onder 1 kap_tussen 2006 en 2014 ;52565;2453;104;0;44;0;49964
rijwoning hoek_voor 1946 ;128374;2354;1249;0;676;0;124095
rijwoning hoek_tussen 1946 en 1965 ;144777;887;161;0;387;0;143342
rijwoning hoek_tussen 1965 en 1974 ;174392;704;36;0;72;0;173580
rijwoning hoek_tussen 1975 en 1991 ;316787;15753;216;0;192;0;300626
rijwoning hoek_tussen 1992 en 2005 ;128922;13806;104;0;116;0;114896
rijwoning hoek_tussen 2006 en 2014 ;69433;3627;162;0;66;0;65578
rijwoning tussen_voor 1946 ;338149;13639;6329;0;2626;0;315555
rijwoning tussen_tussen 1946 en 1965 ;274245;1957;441;0;832;0;271015
rijwoning tussen_tussen 1965 en 1974 ;362099;2777;91;0;137;0;359094
rijwoning tussen_tussen 1975 en 1991 ;718887;47912;533;0;478;0;669964
rijwoning tussen_tussen 1992 en 2005 ;360639;50200;456;0;275;0;309708
rijwoning tussen_tussen 2006 en 2014 ;182814;12729;375;0;231;0;169479
meergezins: laag en midden_voor 1946 ;384789;23749;11278;0;4379;0;345383
meergezins: laag en midden_tussen 1946 en 1965 ;226810;5069;2259;0;1315;0;218167
meergezins: laag en midden_tussen 1965 en 1974 ;150943;4219;1585;0;294;0;144845
meergezins: laag en midden_tussen 1975 en 1991 ;426942;34820;6833;0;3296;0;381993
meergezins: laag en midden_tussen 1992 en 2005 ;257573;15787;2365;0;2558;0;236863
meergezins: laag en midden_tussen 2006 en 2014 ;389833;27629;3695;0;3010;0;355499
meergezins: hoog_voor 1946 ;186205;22330;1836;0;1067;0;160972
meergezins: hoog_tussen 1946 en 1965 ;143487;7365;1254;0;570;0;134298
meergezins: hoog_tussen 1965 en 1974 ;250307;7804;665;0;254;0;241584
meergezins: hoog_tussen 1975 en 1991 ;153599;18966;2707;0;1470;0;130456
meergezins: hoog_tussen 1992 en 2005 ;145317;20633;2250;0;1473;0;120961
meergezins: hoog_tussen 2006 en 2014 ;76949;9641;773;0;374;0;66161
