WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;53809.4532;2318.78667;367.390096;0;67.2282874;7187.67544;0
vrijstaand/bungalows;311659.724;8436.87731;714.148081;0;273.312103;81636.6125;0
twee onder een kap;313355.819;10066.4604;908.817164;0;269.244805;173752.609;0
rijtjeshuizen/eengezins;1070323.49;40358.6368;4407.53834;0;1017.42172;678080.151;0
flats 4 of minder verdiepingen;291867.99;16216.8152;7915.59609;0;343.396854;170822.313;96569.8689
flats meer dan 4 verdiepingen;152459.521;10008.3099;3222.36568;0;142.369408;102368.772;35964.5149
etagewoning/maisonnette;162000.115;9671.15792;4193.38647;0;171.37561;90448.1263;55524.7939
etage/flats grachtenpand;16891.3434;1215.64264;468.255801;0;16.5231674;2297.82344;12893.0984
herenhuis grachtenpand;39696.0788;1803.33587;291.797085;0;47.5251936;5148.74536;0
zelfstandige bejaardenwoning;74521.0235;4310.95092;2124.98743;0;75.2640254;29282.1166;38672.6644
boerderij/tuinderij;32098.5567;872.853372;131.377014;0;45.6102856;278.431545;0
studentenwoning/flat;15614.4597;1223.22635;307.013799;0;11.2346868;4836.44125;9236.54358
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;80670.4779;3199.2852;457.618428;0;103.780156;9179.9036;0
