UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;0;0;0;10622517.9;0;0
Winkel;52034666.5;0;0;0;1411335.86;0;0
Gezondheidszorg;21502186.4;0;0;0;3377226.95;0;0
Logies;14519620.5;0;0;0;3159235.69;0;0
Onderwijs;38848790.7;0;0;0;164614.715;0;0
Industrie;40951472.9;0;0;0;621266.743;0;0
Bijeenkomst;33294920.4;0;0;0;20007635.1;0;0
Sport;13103142.8;0;0;0;978.57898;0;0
overige_gebruiks;37069925;0;0;0;4628.03822;0;0
Cel;891079.424;0;0;0;112340.161;0;0
