Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;89.2004857;0;89.2004857;0;0;0;0;0;0;33.0293362;50.3717547;0;0;5.79939481;0
Gas;320.421075;0;320.421075;211.149273;4.54640429;42.5797997;4.64276275;33.7864472;0;8.92684762;13.6139877;0;0;1.175553;0
Elektra;288.360942;0;288.360942;73.4382337;37.1301133;122.070995;17.7276882;24.9328722;0;0;0;14.5108887;0;-1.4498487;0
RestWarmte;33.0293362;41.9561838;-8.92684762;11.4877653;2.39987494;11.5800745;0.501583154;7.06003829;0;0;0;0;0;0;0
GeoThermie;50.3717547;63.9857424;-13.6139877;4.33908133;0.484887434;7.77566757;0.503166553;37.2689518;0;0;0;0;0;0;0
WKO;38.1054706;14.5108887;23.5945819;2.41826475;30.3397879;5.22044376;0.12697413;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;4.34954611;5.52509911;-1.175553;0.7474514;0.0601150864;3.48980783;0.0505775118;0.00159427415;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
