UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;13631334.5;42375562.7;10622517.9;0;7337504.71;38013217.3;13625246.9;83339.1974;516072.594;0;0
Winkel;52034666.5;1410883.99;34795797.3;1411335.86;0;0;21138519.3;8624492.1;155827.129;16380409.3;0;4324082.86
Gezondheidszorg;21502186.4;3639225.99;13458994.4;3377226.95;0;959449.468;9751485.63;4048773.82;61825.8974;3303424.61;0;0
Logies;14519620.5;2805931.43;8506122.93;3159235.69;0;333700.513;7270716.96;2520072.71;28181;1188744.07;0;18969.6038
Onderwijs;38848790.7;160918.675;26525932.4;164614.715;0;0;14437677.8;8363237.74;83281.5819;14341925.4;0;1458053.49
Industrie;40951472.9;1158178.74;20902273.4;621266.743;0;553377.717;23158560.9;8145558.17;371145.071;8058599.28;0;42965.0052
Bijeenkomst;33294920.4;15270617;25272249.5;20007635.1;0;1991694.27;8218027.5;882705.915;48892;143781.509;0;2002184.18
Sport;13103142.8;978.57898;8434389.36;978.57898;0;0;5791606.03;3823273.7;57366.5073;3159647.31;0;270270.689
overige_gebruiks;37069925;4628.03822;21419059.4;4628.03822;0;0;18106479.7;5556821.9;152488.55;11625125.1;0;1624381.72
Cel;891079.424;103549.284;540109.392;112340.161;0;178764.516;407370.747;192604;0;0;0;0
