WoningType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;53809.4532;43868.3727;0;43868.3727;0;9941.0805;0;0;0;0;0;0
vrijstaand/bungalows;311659.724;75819.6988;0;220598.774;0;91060.9499;0;0;0;0;0;0
twee onder een kap;313355.819;128358.688;0;128358.688;0;184997.132;0;0;0;0;0;0
rijtjeshuizen/eengezins;1070323.49;346459.737;0;346459.737;0;723863.748;0;0;0;0;0;0
flats 4 of minder verdiepingen;291867.99;0;0;0;0;291867.99;0;0;0;0;0;0
flats meer dan 4 verdiepingen;152459.521;753.18952;0;753.18952;0;151706.332;0;0;0;0;0;0
etagewoning/maisonnette;162000.115;1991.27457;0;1991.27457;0;160008.84;0;0;0;0;0;0
etage/flats grachtenpand;16891.3434;0;0;0;0;16891.3434;0;0;0;0;0;0
herenhuis grachtenpand;39696.0788;32404.6753;0;32404.6753;0;7291.40351;0;0;0;0;0;0
zelfstandige bejaardenwoning;74521.0235;55.0401993;0;55.0401993;0;74465.9833;0;0;0;0;0;0
boerderij/tuinderij;32098.5567;8136.41447;0;30770.2844;0;1328.27222;0;0;0;0;0;0
studentenwoning/flat;15614.4597;0;0;0;0;15614.4597;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0;0;0;0;0;0
divers;80670.4779;67729.8905;0;67729.8905;0;12940.5874;0;0;0;0;0;0
