UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;70197898.6;15762047.7;8380627.07;0;4240013.4;5129247.11;26063445.5
Winkel;52034666.5;6864862.07;5729296.59;0;2081603.33;2605745.3;33341823.3
Gezondheidszorg;21502186.4;2223784.51;3131419.35;0;925131.946;2637162.92;9207460.7
Logies;14519620.5;1173697.38;533936.388;0;1299230.08;995773.482;7357747.52
Onderwijs;38848790.7;4414526.9;2754349.78;0;260898.241;3604111.24;27650289.8
Industrie;40951472.9;4788863.4;2815619.26;0;744786.161;5534354.71;26446582.6
Bijeenkomst;33294920.4;3775200.86;1569419.3;0;971575.379;1909589.92;5061499.92
Sport;13103142.8;887496.289;676026.569;0;187852.279;987880.393;10362908.7
overige_gebruiks;37069925;5221194.58;2487451.26;0;670350.753;3509036.7;25177263.7
Cel;891079.424;219454.914;94835;0;28904;284754.325;150791.024
