utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;MVB_EG;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVF_EG;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Gezondheidszorg;onbekend;utiliteit;0.038334258;0.72;1;nvt;0.619830123;0.01008;1;0.971851268;1;nvt;0.032290345;1.56;0.232;1;;D;0.13;0;;;;0.288253506;0;106.6890281;164.4058846;0.201777454;0;148.6596415;243.718142;0.201777454;0;41.9706134;79.31225744;1.07;7.177544069;7.177544069
Logies;0<=1920;utiliteit;0.03745301;0.72;1;nvt;0.723986115;0.01008;1;0.8348;1;nvt;0.155846796;1.56;0.089;1;;G;0.1378;0;;;;0.198224152;0;113.4484855;160.7259508;0.138756906;0;152.1458946;225.5508899;0.138756906;0;38.69740912;64.82493911;1.07;7.177544069;7.177544069
Logies;1920<=1975;utiliteit;0.03745301;0.72;1;nvt;0.582886015;0.01008;1;0.9406;1;nvt;0.155846796;1.56;0.089;1;;E;0.1378;0;;;;0.198224152;0;112.9739677;160.0287001;0.138756906;0;151.6713768;224.8536392;0.138756906;0;38.69740912;64.82493911;1.07;7.177544069;7.177544069
Logies;1975<=1990;utiliteit;0.03745301;0.72;1;nvt;0.323539149;0.01008;1;1;1;nvt;0.155846796;1.56;0.089;1;;C;0.1378;0;;;;0.198224152;0;104.7328528;154.6734281;0.138756906;0;143.4399459;219.4983672;0.138756906;0;38.70709316;64.82493911;1.07;7.177544069;7.177544069
Logies;1990<=1995;utiliteit;0.03745301;0.72;1;nvt;0.302422208;0.01008;1;1.0168;1;nvt;0.155846796;1.56;0.089;1;;B;0.1378;0;;;;0.198224152;0;102.5152085;151.187175;0.138756906;0;141.2223016;216.0121141;0.138756906;0;38.70709316;64.82493911;1.07;7.177544069;7.177544069
Logies;1995<=2015;utiliteit;0.03745301;0.72;1;nvt;0.259615483;0.01008;1;1.07;1;nvt;0.155846796;1.56;0.089;1;;B;0.1378;0;;;;0.198224152;0;98.15739211;147.991443;0.138756906;0;136.8644853;212.8163821;0.138756906;0;38.70709316;64.82493911;1.07;7.177544069;7.177544069
Logies;onbekend;utiliteit;0.03745301;0.72;1;nvt;0.400588267;0.01008;1;1.003822942;1;nvt;0.155846796;1.56;0.089;1;;D;0.1378;0;;;;0.205033605;0;104.4423317;153.2401907;0.143523524;0;143.1397408;218.0651298;0.143523524;0;38.69740912;64.82493911;1.07;7.177544069;7.177544069
Onderwijs;0<=1920;utiliteit;0.004616057;0.72;1;nvt;0.517455923;0.01008;1;0.83;1;nvt;0.004133429;1.56;0.151;1;;G;0.19;0;;;;0.111871429;0;110.0687568;174.7484353;0.07831;0;147.8849186;271.9180557;0.07831;0;37.81616182;97.1696204;1.07;7.177544069;7.177544069
Onderwijs;1920<=1975;utiliteit;0.004616057;0.72;1;nvt;0.390441057;0.01008;1;0.9062;1;nvt;0.004133429;1.56;0.151;1;;E;0.19;0;;;;0.111885195;0;109.6136071;173.9737124;0.078319636;0;147.4394529;271.1433328;0.078319636;0;37.82584585;97.1696204;1.07;7.177544069;7.177544069
Onderwijs;1975<=1990;utiliteit;0.004616057;0.72;1;nvt;0.208941646;0.01008;1;1;1;nvt;0.004133429;1.56;0.151;1;;C;0.19;0;;;;0.111932551;0;97.76034662;167.5338283;0.078352785;0;135.5765084;264.7034487;0.078352785;0;37.81616182;97.1696204;1.07;7.177544069;7.177544069
