Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;41.4207633;0;41.4207633;0;0;0;0;0;0;29.9258732;7.49262131;0;0;4.00226874;0
Gas;408.54928;0;408.54928;231.740911;20.7117078;67.8331138;7.2583258;70.0808446;0;8.08807385;2.02503279;0;0;0.81127069;0
Elektra;304.232511;0;304.232511;70.9097506;40.2566835;120.986931;26.4093581;24.9328722;0;0;0;21.7374832;0;-1.00056718;0
RestWarmte;29.9258732;38.0139471;-8.08807385;10.0227564;2.48368224;11.9252365;0.56009798;4.9341002;0;0;0;0;0;0;0
GeoThermie;7.49262131;9.5176541;-2.02503279;1.21961005;0.238320994;5.83593831;0.162216571;0.0365353841;0;0;0;0;0;0;0
WKO;57.8961808;21.7374832;36.1586976;0;52.8496551;4.73535595;0.311169805;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;3.00170155;3.81297225;-0.81127069;0.37290138;0.0266824598;2.52884193;0.0732757883;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
