woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;274833;1206;531;0;224;0;272872
vrijstaand_tussen 1946 en 1965 ;130070;446;225;0;172;0;129227
vrijstaand_tussen 1965 en 1974 ;105941;388;132;0;161;0;105260
vrijstaand_tussen 1975 en 1991 ;178930;1626;319;0;208;0;176777
vrijstaand_tussen 1992 en 2005 ;185504;5071;354;0;208;0;179871
vrijstaand_tussen 2006 en 2014 ;80523;2865;122;0;49;0;77487
2 onder 1 kap_voor 1946 ;168827;1394;728;0;358;0;166347
2 onder 1 kap_tussen 1946 en 1965 ;112608;548;206;0;172;0;111682
2 onder 1 kap_tussen 1965 en 1974 ;77673;132;49;0;58;0;77434
2 onder 1 kap_tussen 1975 en 1991 ;118933;1579;93;0;74;0;117187
2 onder 1 kap_tussen 1992 en 2005 ;97923;4765;83;0;63;0;93012
2 onder 1 kap_tussen 2006 en 2014 ;51669;2393;98;0;25;0;49153
rijwoning hoek_voor 1946 ;115853;1813;1097;0;308;0;112635
rijwoning hoek_tussen 1946 en 1965 ;96925;639;225;0;134;0;95927
rijwoning hoek_tussen 1965 en 1974 ;137555;596;27;0;22;0;136910
rijwoning hoek_tussen 1975 en 1991 ;304958;15432;184;0;49;0;289293
rijwoning hoek_tussen 1992 en 2005 ;124571;13491;102;0;41;0;110937
rijwoning hoek_tussen 2006 en 2014 ;66587;3613;156;0;17;0;62801
rijwoning tussen_voor 1946 ;296841;11123;5450;0;1400;0;278868
rijwoning tussen_tussen 1946 en 1965 ;172862;1354;479;0;220;0;170809
rijwoning tussen_tussen 1965 en 1974 ;278108;2274;76;0;35;0;275723
rijwoning tussen_tussen 1975 en 1991 ;689294;46830;443;0;112;0;641909
rijwoning tussen_tussen 1992 en 2005 ;346786;48921;390;0;80;0;297395
rijwoning tussen_tussen 2006 en 2014 ;174169;12669;396;0;69;0;161035
meergezins: laag en midden_voor 1946 ;345887;22095;9912;0;2849;0;311031
meergezins: laag en midden_tussen 1946 en 1965 ;169784;4034;1335;0;309;0;164106
meergezins: laag en midden_tussen 1965 en 1974 ;130542;3037;1652;0;67;0;125786
meergezins: laag en midden_tussen 1975 en 1991 ;389442;33365;5869;0;1564;0;348644
meergezins: laag en midden_tussen 1992 en 2005 ;239266;14539;1876;0;881;0;221970
meergezins: laag en midden_tussen 2006 en 2014 ;367890;26441;3526;0;799;0;337124
meergezins: hoog_voor 1946 ;179149;20402;1523;0;790;0;156434
meergezins: hoog_tussen 1946 en 1965 ;130341;7455;1164;0;66;0;121656
meergezins: hoog_tussen 1965 en 1974 ;205979;6064;804;0;61;0;199050
meergezins: hoog_tussen 1975 en 1991 ;143244;18607;2226;0;632;0;121779
meergezins: hoog_tussen 1992 en 2005 ;136065;20365;1872;0;511;0;113317
meergezins: hoog_tussen 2006 en 2014 ;72091;9489;954;0;130;0;61518
