WoningType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;0;0;0;0;67700.4528;0;0;0;0;0;0
vrijstaand/bungalows;390419.681;16.0504398;0;16.0504398;0;390403.631;0;0;0;0;0;0
twee onder een kap;389632.035;0;0;0;0;389632.035;0;0;0;0;0;0
rijtjeshuizen/eengezins;1324953.66;0;0;0;0;1324953.66;0;0;0;0;0;0
flats 4 of minder verdiepingen;361990.085;0;0;0;0;361990.085;0;0;0;0;0;0
flats meer dan 4 verdiepingen;191262.614;0;0;0;0;191262.614;0;0;0;0;0;0
etagewoning/maisonnette;201948.482;0;0;0;0;201948.482;0;0;0;0;0;0
etage/flats grachtenpand;21120.986;0;0;0;0;21120.986;0;0;0;0;0;0
herenhuis grachtenpand;49381.0275;0;0;0;0;49381.0275;0;0;0;0;0;0
zelfstandige bejaardenwoning;93430.6905;0;0;0;0;93430.6905;0;0;0;0;0;0
boerderij/tuinderij;41054.0663;0;0;0;0;41054.0663;0;0;0;0;0;0
studentenwoning/flat;20297.2441;0;0;0;0;20297.2441;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0;0;0;0;0;0
divers;100220.999;0;0;0;0;100220.999;0;0;0;0;0;0
