woningtype_bouwjaarklasse;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;274833;0;0;0;0;0;0
vrijstaand_tussen 1946 en 1965 ;130070;0;0;0;0;0;0
vrijstaand_tussen 1965 en 1974 ;105941;0;0;0;0;0;0
vrijstaand_tussen 1975 en 1991 ;178930;0;0;0;0;0;0
vrijstaand_tussen 1992 en 2005 ;185504;0;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;80523;0;0;0;0;0;0
2 onder 1 kap_voor 1946 ;168827;0;0;0;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;112608;0;0;0;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;77673;0;0;0;0;0;0
2 onder 1 kap_tussen 1975 en 1991 ;118933;0;0;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;97923;0;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;51669;0;0;0;0;0;0
rijwoning hoek_voor 1946 ;115853;0;0;0;0;0;0
rijwoning hoek_tussen 1946 en 1965 ;96925;0;0;0;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;137555;0;0;0;0;0;0
rijwoning hoek_tussen 1975 en 1991 ;304958;0;0;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;124571;0;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;66587;0;0;0;0;0;0
rijwoning tussen_voor 1946 ;296841;0;0;0;0;0;0
rijwoning tussen_tussen 1946 en 1965 ;172862;0;0;0;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;278108;0;0;0;0;0;0
rijwoning tussen_tussen 1975 en 1991 ;689294;0;0;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;346786;0;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;174169;0;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;345887;0;0;0;0;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;169784;0;0;0;0;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;130542;0;0;0;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;389442;0;0;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;239266;0;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;367890;0;0;0;0;0;0
meergezins: hoog_voor 1946 ;179149;0;0;0;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;130341;0;0;0;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;205979;0;0;0;0;0;0
meergezins: hoog_tussen 1975 en 1991 ;143244;0;0;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;136065;0;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;72091;0;0;0;0;0;0
