UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;3179388.71;42246437;4627077.64;0;2219929.99;35272662;13657192.6;98767.5561;13300764.9;0;808462.872
Winkel;51993543.1;6430.41205;34752090.5;6738.94497;0;0;21143129.4;8631403.82;155113.106;16438325.4;0;5618832.41
Gezondheidszorg;21487068.7;450091.625;13449625.7;777086.312;0;64365.5044;9702003.32;4088586.32;87442.2448;5991368.5;0;776216.51
Logies;14515764.2;927464.351;8503298.67;1056109.81;0;0;7297825.78;2665917.59;37557.9136;2647860.22;0;810492.858
Onderwijs;38875882.9;5221.0636;26545911.8;9016.99769;0;0;14446137.2;8369482.66;83400.5658;14380361.4;0;1587484
Industrie;40912084;38858.9955;20878298.2;47247.3535;0;0;23140280.6;8136607.97;371124.383;8318490.42;0;898333.233
Bijeenkomst;33272224;2456647.52;25254948.1;3477591.5;0;0;10035154.2;4882001.35;107998.673;8251331.06;0;6518147.22
Sport;13094166.7;0;8428737.48;0;0;0;5787243.56;3820944.93;57344.9088;3157486.15;0;271147.167
overige_gebruiks;37042786.5;4292.47953;21400898.3;4330.36911;0;0;18095578.8;5552342.42;152406.088;11614794;0;1623334.86
Cel;890888.503;328;540046.107;7552.05791;0;38923.4923;596176.395;232343.384;0;15893.1732;0;0
