UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;29181325;0;0;0;0;29181325;0;0;0;0;0;0
winkel;5568154;0;0;0;0;5568154;0;0;0;0;0;0
groothandel;0;0;0;0;0;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0;0;0;0;0;0
verzorging_verpleging;2025513;0;0;0;0;2025513;0;0;0;0;0;0
ziekenhuis;0;0;0;0;0;0;0;0;0;0;0;0
onderwijs;23396399;0;0;0;0;23396399;0;0;0;0;0;0
horeca;2236608;0;0;0;0;2236608;0;0;0;0;0;0
overig;6637884;0;0;0;0;6637884;0;0;0;0;0;0
