WoningType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;0;0;0;0;0;0
vrijstaand/bungalows;390419.681;0;0;0;16.0504398;0;0
twee onder een kap;389632.035;0;0;0;0;0;0
rijtjeshuizen/eengezins;1324953.66;0;0;0;0;0;0
flats 4 of minder verdiepingen;361990.085;0;0;0;0;0;0
flats meer dan 4 verdiepingen;191262.614;0;0;0;0;0;0
etagewoning/maisonnette;201948.482;0;0;0;0;0;0
etage/flats grachtenpand;21120.986;0;0;0;0;0;0
herenhuis grachtenpand;49381.0275;0;0;0;0;0;0
zelfstandige bejaardenwoning;93430.6905;0;0;0;0;0;0
boerderij/tuinderij;41054.0663;0;0;0;0;0;0
studentenwoning/flat;20297.2441;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;100220.999;0;0;0;0;0;0
