UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;69984857.6;13807106.5;5854251.64;0;2929310.32;4070380.93;38696730.5
Winkel;51993543.1;6157548.71;3331038.33;0;915953.058;2589150.76;38993113.3
Gezondheidszorg;21487068.7;1637887.02;1688143.48;0;531231.029;2460518.69;14392202.2
Logies;14515764.2;749626.208;315096.847;0;984832.344;1008008.53;10402090.4
Onderwijs;38875882.9;3816266.53;924697.441;0;121637.456;3538004.93;30466259.5
Industrie;40912084;4056512.53;1310300.44;0;319394.328;4966646.4;30211982.9
Bijeenkomst;33272224;3575256.06;1139243.59;0;541009.089;1712663.52;22826460.2
Sport;13094166.7;653726.124;228783.18;0;92844.5031;959943.295;11158869.6
overige_gebruiks;37042786.5;4827709.03;1098824.91;0;361250.609;3415825.46;27334846.1
Cel;890888.503;157787.79;21609;0;52979;128431.814;522528.841
