WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;2715.39538;294.408267;0;31.698496;13355.6416;51303.3091
vrijstaand/bungalows;390419.681;9286.75307;694.21033;0;109.167361;270489.453;109824.047
twee onder een kap;389632.035;11033.3672;713.91481;0;109.339131;297610.769;80164.6449
rijtjeshuizen/eengezins;1324953.66;44033.6595;3747.49404;0;458.176635;1166769.38;109944.947
flats 4 of minder verdiepingen;361990.085;15530.8732;1876.30618;0;179.727543;230927.031;113476.147
flats meer dan 4 verdiepingen;191262.614;9571.81994;1147.26836;0;81.8351548;133039.592;47422.0991
etagewoning/maisonnette;201948.482;9156.38483;1150.61136;0;94.3655316;117862.222;73684.8989
etage/flats grachtenpand;21120.986;1085.95726;130.927873;0;9.5624429;2581.54622;17312.9922
herenhuis grachtenpand;49381.0275;2140.77865;241.012834;0;23.8512261;8057.54794;38917.8368
zelfstandige bejaardenwoning;93430.6905;4090.51519;467.179047;0;38.6747224;37138.5945;51695.727
boerderij/tuinderij;41054.0663;1049.09171;129.250473;0;16.3280738;1652.31775;38207.0782
studentenwoning/flat;20297.2441;1189.34802;84.9519205;0;6.2206173;6443.74058;12572.983
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;100220.999;3719.97279;398.945208;0;45.6621779;16183.0354;79873.3838
