Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;2313.89447;0;2313.89447;49.9491689;0;71.5174918;0;0;0;84.5185955;81.0150041;2003.80475;0;23.0894545;0
LokaleOpwekking;254.576739;0;254.576739;0;0.00368116526;22.5864837;0;0;0;160.078251;0.00089495199;0;0;71.9074284;0
Gas;6887.43458;0;6887.43458;3291.37659;363.620223;989.420056;186.076779;584.560599;0;72.8309967;18.2348924;0;0;7.3052811;1374.00916
Elektra;12538.667;0;12538.667;3487.26474;2140.02767;4598.87214;1015.43555;777.220843;0;0;0;712.003161;0;-25.8479856;-166.309101
RestWarmte;722.358837;719.453173;2.90566338;234.783071;65.3003322;346.616159;29.611752;46.0475223;0;0;0;0;0;0;0
GeoThermie;206.56201;192.224901;14.3371093;29.6290144;8.26488669;159.405967;8.92117508;0.340966711;0;0;0;0;0;0;0
WKO;3538.41736;3342.55909;195.858278;0;3279.95348;243.088539;15.375344;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;86.3002117;141.895925;-55.5957135;8.93218047;0.912612775;72.8180875;3.63733088;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;-186.084387;0;-186.084387;0;-575.525671;12.5562638;0;0;0;269.795639;49.6411339;7.12974126;0;50.3185064;0
CO2 Heffing;423.934831;0;423.934831;98.4857647;55.9120604;168.037404;36.679664;34.6289892;0;0;0;30.1909489;0;0;0
Energie heffing;6046.40321;1207.70006;4838.70314;3488.87326;592.962942;1210.8767;329.429758;132.965845;0;58.5203448;14.651896;212.252608;0;5.86985744;0
BTW;3822.73975;0;3822.73975;2241.00551;1366.46159;0;0;0;0;53.5945222;7.69583372;150.579771;0;3.40252966;0
RisicoPremie;738.938874;0;738.938874;11.6709787;349.719705;75.6412012;28.3579586;-7.15255737E-13;0;20.1148247;20.9852458;226.598106;0;5.8508533;0
