UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71994672;0;0;0;0;0;0
Winkel;53589144;0;0;0;0;0;0
Gezondheidszorg;21576506;0;0;0;0;0;0
Logies;14534852;0;0;0;0;0;0
Onderwijs;39016679;0;0;0;0;0;0
Industrie;41122390;0;0;0;0;0;0
Bijeenkomst;33398341;0;0;0;0;0;0
Sport;13146746;0;0;0;0;0;0
overige_gebruiks;37205308;0;0;0;0;0;0
Cel;892095;0;0;0;0;0;0
