Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas;26336.1894;0;26336.1894;15931.8576;0;6215.90054;0;3926.21052;0;262.22081;0;0;0;0;0
Elektra;29018.2088;0;29018.2088;10257.5487;0;15616.3479;0;3144.31222;0;0;0;0;0;0;0
RestWarmte;262.22081;262.22081;0;128.847286;0;58.8020239;0;74.5715006;0;0;0;0;0;0;0
GeoThermie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WKO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
