UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71994672;4297512;0;0;0;0;67697160
Winkel;53589144;1599632;0;0;0;0;51989512
Gezondheidszorg;21576506;483824;0;0;0;0;21092682
Logies;14534852;136800;0;0;0;0;14398052
Onderwijs;39016679;1825924;0;0;0;0;37190755
Industrie;41122390;1688267;0;0;0;0;39434123
Bijeenkomst;33398341;1157435;0;0;0;0;32240906
Sport;13146746;310385;0;0;0;0;12836361
overige_gebruiks;37205308;1936783;0;0;0;0;35268525
Cel;892095;650;0;0;0;0;891445
