woningtype_bouwjaarklasse;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282968;602;0;0;0;0;282366
vrijstaand_tussen 1946 en 1965 ;142945;246;0;0;0;0;142699
vrijstaand_tussen 1965 en 1974 ;114126;282;0;0;0;0;113844
vrijstaand_tussen 1975 en 1991 ;183460;1385;0;0;0;0;182075
vrijstaand_tussen 1992 en 2005 ;188909;4937;0;0;0;0;183972
vrijstaand_tussen 2006 en 2014 ;82053;2823;0;0;0;0;79230
2 onder 1 kap_voor 1946 ;177550;452;0;0;0;0;177098
2 onder 1 kap_tussen 1946 en 1965 ;139684;111;0;0;0;0;139573
2 onder 1 kap_tussen 1965 en 1974 ;88441;61;0;0;0;0;88380
2 onder 1 kap_tussen 1975 en 1991 ;122136;1522;0;0;0;0;120614
2 onder 1 kap_tussen 1992 en 2005 ;99833;4725;0;0;0;0;95108
2 onder 1 kap_tussen 2006 en 2014 ;52858;2333;0;0;0;0;50525
rijwoning hoek_voor 1946 ;131721;517;0;0;0;0;131204
rijwoning hoek_tussen 1946 en 1965 ;162067;647;0;0;0;0;161420
rijwoning hoek_tussen 1965 en 1974 ;184578;1401;0;0;0;0;183177
rijwoning hoek_tussen 1975 en 1991 ;320654;15458;0;0;0;0;305196
rijwoning hoek_tussen 1992 en 2005 ;129878;13667;0;0;0;0;116211
rijwoning hoek_tussen 2006 en 2014 ;70959;3581;0;0;0;0;67378
rijwoning tussen_voor 1946 ;348496;3699;0;0;0;0;344797
rijwoning tussen_tussen 1946 en 1965 ;317427;1765;0;0;0;0;315662
rijwoning tussen_tussen 1965 en 1974 ;387939;5828;0;0;0;0;382111
rijwoning tussen_tussen 1975 en 1991 ;728428;46927;0;0;0;0;681501
rijwoning tussen_tussen 1992 en 2005 ;363463;49829;0;0;0;0;313634
rijwoning tussen_tussen 2006 en 2014 ;187968;12527;0;0;0;0;175441
meergezins: laag en midden_voor 1946 ;387728;6287;0;0;0;0;381441
meergezins: laag en midden_tussen 1946 en 1965 ;266993;2080;0;0;0;0;264913
meergezins: laag en midden_tussen 1965 en 1974 ;161222;6480;0;0;0;0;154742
meergezins: laag en midden_tussen 1975 en 1991 ;432429;29518;0;0;0;0;402911
meergezins: laag en midden_tussen 1992 en 2005 ;261046;11976;0;0;0;0;249070
meergezins: laag en midden_tussen 2006 en 2014 ;401791;21977;0;0;0;0;379814
meergezins: hoog_voor 1946 ;186821;2634;0;0;0;0;184187
meergezins: hoog_tussen 1946 en 1965 ;156416;6495;0;0;0;0;149921
meergezins: hoog_tussen 1965 en 1974 ;272477;13130;0;0;0;0;259347
meergezins: hoog_tussen 1975 en 1991 ;155723;14434;0;0;0;0;141289
meergezins: hoog_tussen 1992 en 2005 ;147236;15935;0;0;0;0;131301
meergezins: hoog_tussen 2006 en 2014 ;79098;7683;0;0;0;0;71415
