woningtype_bouwjaarklasse;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;274833;0;274833;0;0;0;274833;0;0;0;0;0
vrijstaand_tussen 1946 en 1965 ;130070;0;130070;0;0;0;130070;0;0;0;0;0
vrijstaand_tussen 1965 en 1974 ;105941;2680;105941;0;0;0;105941;0;0;0;0;0
vrijstaand_tussen 1975 en 1991 ;178930;0;178930;0;0;0;3362;0;175568;0;0;0
vrijstaand_tussen 1992 en 2005 ;185504;0;185504;0;0;0;185504;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;80523;0;80523;0;0;0;80523;0;0;0;0;0
2 onder 1 kap_voor 1946 ;168827;0;168827;0;0;0;168827;0;0;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;112608;0;112608;0;0;0;112608;0;0;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;77673;18226;77673;0;0;0;24183;53490;0;0;0;0
2 onder 1 kap_tussen 1975 en 1991 ;118933;0;118933;0;0;0;1257;117676;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;97923;0;97923;0;0;0;97923;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;51669;0;51669;0;0;0;51669;0;0;0;0;0
rijwoning hoek_voor 1946 ;115853;53619;115853;0;0;14868;4084;0;0;96901;0;0
rijwoning hoek_tussen 1946 en 1965 ;96925;0;96925;0;0;0;96925;0;0;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;137555;62011;137555;0;0;62011;5240;70304;0;0;0;0
rijwoning hoek_tussen 1975 en 1991 ;304958;0;304958;0;0;0;10330;294628;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;124571;0;124571;0;0;0;124571;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;66587;66263;66587;0;0;66263;324;0;0;0;0;0
rijwoning tussen_voor 1946 ;296841;133370;296841;0;0;28664;11071;0;0;257106;0;0
rijwoning tussen_tussen 1946 en 1965 ;172862;0;172862;0;0;0;172862;0;0;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;278108;117108;278108;0;0;117108;9364;151636;0;0;0;0
rijwoning tussen_tussen 1975 en 1991 ;689294;0;689294;0;0;0;21730;667564;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;346786;0;346786;0;0;0;346786;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;174169;173457;174169;0;0;173457;712;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;345887;0;345887;0;0;0;345887;0;0;0;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;169784;0;169784;0;0;0;5807;32430;0;131547;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;130542;0;130542;0;0;0;21724;0;108818;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;389442;0;389442;0;0;0;43855;345587;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;239266;0;239266;0;0;0;239266;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;367890;143395;367890;0;0;367890;0;0;0;0;0;0
meergezins: hoog_voor 1946 ;179149;1656;179149;0;0;1656;16828;0;160665;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;130341;4770;130341;0;0;4770;14824;0;110747;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;205979;0;205979;0;0;0;8992;62469;0;134518;0;0
meergezins: hoog_tussen 1975 en 1991 ;143244;0;143244;0;0;0;9808;133436;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;136065;0;136065;0;0;0;136065;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;72091;0;72091;0;0;72091;0;0;0;0;0;0
