Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;98.1227107;0;98.1227107;0;0;0;0;0;0;34.6666341;58.5576584;0;0;4.89841822;0
Gas;269.78753;0;269.78753;179.178192;1.15286852;30.8575461;5.4812668;26.9289788;0;9.36936056;15.8263942;0;0;0.992922612;0
Elektra;308.826744;0;308.826744;70.9097506;48.1689733;122.307331;26.3341997;24.9328722;0;0;0;17.3982219;0;-1.22460455;0
RestWarmte;34.6666341;44.0359946;-9.36936056;11.6378176;2.82111415;11.1563477;1.04624472;8.00510989;0;0;0;0;0;0;0
GeoThermie;58.5576584;74.3840526;-15.8263942;7.06518308;1.12236619;8.22998879;1.20233536;40.937785;0;0;0;0;0;0;0
WKO;45.0051863;17.3982219;27.6069644;9.60836283;29.6419474;5.21663892;0.538237103;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;3.67381366;4.66673627;-0.992922612;0.682414256;0.0842664056;2.8189935;0.0865926997;0.00154679796;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
