GlasTuinBouwType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;42826071;5135407;21845876;0;84;0;15844704
Glastuinbouw_groente_onverwarmd;2416531;63908;756601;0;4;0;1596018
Glastuinbouw_groente_belicht;2856394;470446;1608291;0;0;0;777657
Glastuinbouw_groente_onbelicht;42386208;4728869;20994186;0;88;0;16663065
Glastuinbouw_bloemen_verwarmd;44166369;4134524;25735184;0;1822;0;14294839
Glastuinbouw_bloemen_onverwarmd;2734481;202592;1256467;0;248;0;1275174
Glastuinbouw_bloemen_belicht;15845669;1519087;10277704;0;300;0;4048578
Glastuinbouw_bloemen_onbelicht;31055181;2818029;16713947;0;1770;0;11521435
Glastuinbouw_overig_verwarmd;1684975;43693;235149;0;0;0;1406133
Glastuinbouw_overig_onverwarmd;2054529;36130;298662;0;296;0;1719441
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
