Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;189.885956;0;189.885956;0;0;0;0;0;0;189.885956;0;0;0;0;0
Gas;13655.5963;0;13655.5963;9069.30376;58.3537241;1561.88906;277.440424;1363.04025;0;474.24062;801.070567;0;0;50.2578838;0
Elektra;3088.26744;0;3088.26744;709.097506;481.689733;1223.07331;263.341997;249.328722;0;0;0;173.982219;0;-12.2460455;0
RestWarmte;664.126576;664.126576;0;222.951669;54.0455377;213.727904;20.0434493;153.358016;0;0;0;0;0;0;0
GeoThermie;801.070567;801.070567;0;96.6519217;15.354004;112.5865;16.4479847;560.030157;0;0;0;0;0;0;0
WKO;173.982219;173.982219;0;37.1442587;114.590611;20.1666183;2.08073098;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;38.0118383;38.0118383;0;7.06073381;0.871879;29.1672728;0.895948461;0.0160042504;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
