UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;29181325;5538691;3829442;0;432867;3243591;16136734
winkel;5568154;635920;877140;0;165815;85777;3803502
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;2025513;107055;339306;0;9938;38714;1530500
ziekenhuis;0;0;0;0;0;0;0
onderwijs;23396399;1846065;3297182;0;25738;1099141;17128273
horeca;2236608;125468;420422;0;4135;0;1686583
overig;6637884;371220;1115668;0;63297;7556;5080143
