WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;2757.45334;917.422156;0;94.1071612;7187.67544;0
vrijstaand/bungalows;390419.681;10077.6864;3182.51388;0;363.71641;81636.6125;0
twee onder een kap;389632.035;12028.6278;3941.01993;0;369.10743;173752.609;0
rijtjeshuizen/eengezins;1324953.66;48352.0088;15639.6274;0;1490.96977;678080.151;0
flats 4 of minder verdiepingen;361990.085;21622.6287;14276.1642;0;514.886597;171114.116;49185.5859
flats meer dan 4 verdiepingen;191262.614;11526.2423;4918.33774;0;233.986987;102368.772;234.231952
etagewoning/maisonnette;201948.482;11181.6546;6074.03016;0;269.131958;90448.1263;0
etage/flats grachtenpand;21120.986;1518.70726;968.854679;0;26.9302631;2297.82344;10781.1296
herenhuis grachtenpand;49381.0275;2142.93389;729.72414;0;69.7048373;5148.74536;0
zelfstandige bejaardenwoning;93430.6905;4952.22089;2920.7989;0;112.706599;29282.1166;0
boerderij/tuinderij;41054.0663;1045.07109;341.863848;0;56.1647773;278.431545;0
studentenwoning/flat;20297.2441;1471.48907;656.505556;0;17.637426;4836.44125;8035.65706
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;100220.999;3812.45497;1300.02497;0;140.481568;9179.9036;0
