Afnemer;Oj_Totaal;Kj_Totaal;Oj_Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr];[ mega EURO per Yr]
GebouwVerbetering;4229.00394;0;4229.00394;1036.3184;0;464.024479;0;0;0;174.758843;570.907927;1940.50096;0;42.4933329;0
LokaleOpwekking;936.782806;0;936.782806;0;375.548449;135.851711;0;0;0;337.367404;0.00699438698;0;0;88.0082473;0
Gas;5537.92297;0;5537.92297;2638.49661;24.9441637;511.899682;140.736315;224.620865;0;84.3686496;142.512554;0;0;8.9410093;1761.40313
Elektra;12639.3641;0;12639.3641;3487.26474;2394.43546;4640.67486;1013.05553;777.220843;0;0;0;539.970287;0;-31.6356177;-181.62206
RestWarmte;1428.02962;1280.31623;147.713388;484.174864;127.169242;545.795853;72.0826829;198.806977;0;0;0;0;0;0;0
GeoThermie;1864.73981;1604.0591;260.680714;295.653;59.9033699;403.005068;89.4881121;1016.69026;0;0;0;0;0;0;0
WKO;3667.38628;3149.01197;518.374312;592.328479;2682.05617;355.322333;37.6793032;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;181.687523;223.089622;-41.4020994;29.1521743;4.34166912;142.04378;6.11148509;0.0384147413;0;0;0;0;0;0;0
Onderhoud & Verbruik;560.523723;0;560.523723;-145.67275;-130.128224;75.5225979;0;0;0;353.187868;325.775425;6.43894766;0;75.3998578;0
CO2 Heffing;430.626873;0;430.626873;98.4857647;66.9013518;169.871293;36.5752773;34.6289892;0;0;0;24.1641971;0;0;0
Energie heffing;9695.71303;1579.78107;8115.93197;5939.18079;545.16973;1467.15042;402.913413;507.938052;0;215.806125;364.532112;230.152233;0;22.8701606;0
BTW;4599.97256;0;4599.97256;2988.49763;1362.7413;0;0;0;0;71.4388745;43.5806426;127.480529;0;6.2335859;0
RisicoPremie;1401.14766;0;1401.14766;231.355256;321.039994;329.623682;27.9129533;7.15255737E-13;0;43.3884655;156.743443;280.304824;0;10.7790461;0
