WoningType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;67700.4528;12875.422;0;56743.7947;0;10956.6581;0;0;0;0;0;0
vrijstaand/bungalows;390419.681;74560.3781;0;295159.152;0;95260.5291;0;0;0;0;0;0
twee onder een kap;389632.035;71181.9829;0;199540.671;0;190091.364;0;0;0;0;0;0
rijtjeshuizen/eengezins;1324953.66;234931.163;0;581390.9;0;743562.757;0;0;0;0;0;0
flats 4 of minder verdiepingen;361990.085;105276.704;0;105276.704;0;256713.381;0;0;0;0;0;0
flats meer dan 4 verdiepingen;191262.614;71227.8539;0;71981.0434;0;119281.571;0;0;0;0;0;0
etagewoning/maisonnette;201948.482;91984.2647;0;93975.5393;0;107972.943;0;0;0;0;0;0
etage/flats grachtenpand;21120.986;5527.54076;0;5527.54076;0;15593.4453;0;0;0;0;0;0
herenhuis grachtenpand;49381.0275;8885.24395;0;41289.9192;0;8091.10822;0;0;0;0;0;0
zelfstandige bejaardenwoning;93430.6905;56107.8073;0;56162.8475;0;37267.843;0;0;0;0;0;0
boerderij/tuinderij;41054.0663;8562.25055;0;39332.535;0;1721.53126;0;0;0;0;0;0
studentenwoning/flat;20297.2441;5279.51378;0;5279.51378;0;15017.7304;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0;0;0;0;0;0
divers;100220.999;18058.2438;0;85788.1343;0;14432.8651;0;0;0;0;0;0
