woningtype_bouwjaarklasse;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;282968;0;0;0;0;0;2759;0;0;3272;0;276937
vrijstaand_tussen 1946 en 1965 ;142945;0;0;0;0;0;2252;0;0;2572;0;138121
vrijstaand_tussen 1965 en 1974 ;114126;0;0;0;0;0;1980;0;1104;0;111042;0
vrijstaand_tussen 1975 en 1991 ;183460;0;0;0;0;0;3473;0;179987;0;0;0
vrijstaand_tussen 1992 en 2005 ;188909;0;0;0;0;0;188909;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;82053;0;0;0;0;0;82053;0;0;0;0;0
2 onder 1 kap_voor 1946 ;177550;0;0;0;0;0;3198;0;3011;0;171341;0
2 onder 1 kap_tussen 1946 en 1965 ;139684;0;0;0;0;0;8755;0;8256;0;122673;0
2 onder 1 kap_tussen 1965 en 1974 ;88441;0;0;0;0;0;1389;7275;0;79777;0;0
2 onder 1 kap_tussen 1975 en 1991 ;122136;0;0;0;0;0;1310;120826;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;99833;0;0;0;0;0;99833;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;52858;0;0;0;0;0;52858;0;0;0;0;0
rijwoning hoek_voor 1946 ;131721;0;0;0;0;0;5254;0;0;8872;0;117595
rijwoning hoek_tussen 1946 en 1965 ;162067;0;0;0;0;0;21248;0;16050;0;124769;0
rijwoning hoek_tussen 1965 en 1974 ;184578;0;0;0;0;0;8266;41405;0;134907;0;0
rijwoning hoek_tussen 1975 en 1991 ;320654;0;0;0;0;0;11156;309498;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;129878;0;0;0;0;0;129878;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;70959;0;0;0;0;0;70959;0;0;0;0;0
rijwoning tussen_voor 1946 ;348496;0;0;0;0;0;14668;0;0;31398;0;302430
rijwoning tussen_tussen 1946 en 1965 ;317427;0;0;0;0;0;41884;0;41142;0;234401;0
rijwoning tussen_tussen 1965 en 1974 ;387939;0;0;0;0;0;16363;97511;0;274065;0;0
rijwoning tussen_tussen 1975 en 1991 ;728428;0;0;0;0;0;23466;704962;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;363463;0;0;0;0;0;363463;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;187968;0;0;0;0;0;187968;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;387728;0;0;0;0;0;23063;0;0;21347;0;343318
meergezins: laag en midden_tussen 1946 en 1965 ;266993;0;0;0;0;0;9080;55125;0;202788;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;161222;0;0;0;0;0;27853;0;133369;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;432429;0;0;0;0;0;48799;383630;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;261046;0;0;0;0;0;261046;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;401791;0;0;0;0;0;401791;0;0;0;0;0
meergezins: hoog_voor 1946 ;186821;0;0;0;0;0;18166;0;168655;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;156416;0;0;0;0;0;17897;0;138519;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;272477;0;0;0;0;0;11990;87700;0;172787;0;0
meergezins: hoog_tussen 1975 en 1991 ;155723;0;0;0;0;0;10705;145018;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;147236;0;0;0;0;0;147236;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;79098;0;0;0;0;0;79098;0;0;0;0;0
