UtiliteitsType;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71994672;0;0;0;0;0;35845065;14070620;100673;15668577;0;6309737
Winkel;53589144;0;0;0;0;0;21752238;8878234;157869;17009328;0;5791475
Gezondheidszorg;21576506;0;0;0;0;0;9743188;4113227;87831;6317317;0;1314943
Logies;14534852;0;0;0;0;0;7305178;2671859;37731;3551620;0;968464
Onderwijs;39016679;0;0;0;0;0;14493991;8400084;83614;14444885;0;1594105
Industrie;41122390;0;0;0;0;0;23231021;8189166;372843;8377381;0;951979
Bijeenkomst;33398341;0;0;0;0;0;10093736;4943580;110381;11513172;0;6737472
Sport;13146746;0;0;0;0;0;5812714;3834810;57537;3169761;0;271924
overige_gebruiks;37205308;0;0;0;0;0;18165367;5577828;152886;11676939;0;1632288
Cel;892095;0;0;0;0;0;463854;232682;0;59296;0;136263
