Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr];[ mega kg per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;147.117977;0;147.117977;0;0;0;0;0;0;147.117977;0;0;0;0;0
Gas;22648.6146;0;22648.6146;13170.5816;712.38438;4243.46133;217.960963;3767.81649;0;409.05347;82.2574805;0;0;45.0989658;0
Elektra;4620.79506;0;4620.79506;1289.60263;409.397405;2067.71502;221.372684;422.473668;0;0;0;228.853912;0;-18.6202535;0
RestWarmte;556.171447;556.171447;0;196.561489;34.7916103;224.272877;3.09148191;97.4539882;0;0;0;0;0;0;0
GeoThermie;82.2574805;82.2574805;-1.42108547E-14;14.705293;0.433618005;66.5163029;0.309294051;0.292972514;0;0;0;0;0;0;0
WKO;228.853912;228.853912;0;0;201.319035;27.5348767;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;26.4787123;26.4787123;0;3.19862915;0.103504656;23.0261505;0.15042804;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
