Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;40.3100633;0;40.3100633;0;0;0;0;0;0;29.9015023;6.01296021;0;0;4.39560083;0
Gas;447.458585;0;447.458585;260.20531;14.0742607;83.8361743;4.30615761;74.4390711;0;8.0814871;1.62512438;0;0;0.891000168;0
Elektra;272.702659;0;272.702659;76.1076961;24.1611583;122.029083;13.0646174;24.9328722;0;0;0;13.5061325;0;-1.09890021;0
RestWarmte;29.9015023;37.9829894;-8.0814871;10.5677554;1.8705049;12.0576056;0.166207657;5.23942872;0;0;0;0;0;0;0
GeoThermie;6.01296021;7.63808459;-1.62512438;1.0749459;0.0316971514;4.86229192;0.0226091635;0.0214160713;0;0;0;0;0;0;0
WKO;36.4012978;13.5061325;22.8951653;0;32.021625;4.37967277;0;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;3.29670062;4.18770079;-0.891000168;0.398241522;0.0128867243;2.86684351;0.0187288644;0;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
