WoningType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;39703.1202;1896.83066;38.7054551;0;17.5305343;7236.70254;30513.351
vrijstaand/bungalows;234166.543;6646.60095;102.711491;0;55.2689619;152632.864;74729.0985
twee onder een kap;234727.803;7971.21653;112.314507;0;54.8520988;172001.047;54588.3725
rijtjeshuizen/eengezins;800126.38;31972.8103;504.068612;0;202.371956;685878.986;81568.1431
flats 4 of minder verdiepingen;217410.291;11155.6279;222.546108;0;84.5093743;134193.42;71754.1877
flats meer dan 4 verdiepingen;112852.202;6969.12818;101.780766;0;29.1931157;75340.0537;30412.046
etagewoning/maisonnette;120149.29;6667.74358;115.777474;0;38.0639197;67737.7249;45589.98
etage/flats grachtenpand;12497.7886;734.289049;11.5541167;0;3.53169458;1137.85385;10610.5599
herenhuis grachtenpand;29502.7621;1460.39362;29.2419619;0;11.334506;3828.77464;24173.0173
zelfstandige bejaardenwoning;55311.6125;2916.0225;48.8514428;0;17.1237842;19550.1889;32779.4259
boerderij/tuinderij;23844.9123;695.517514;25.3682616;0;9.06485651;928.888852;22186.0728
studentenwoning/flat;11479.1302;772.270983;7.47497368;0;2.33682345;3194.16042;7502.88699
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;60298.2382;2588.79592;60.9906507;0;25.1388772;9001.70097;48621.6117
