UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71237077.3;0;0;0;566463.102;0;0
Winkel;52719860.9;0;0;0;37.1151754;0;0
Gezondheidszorg;21546293;0;0;0;82894.1725;0;0
Logies;14528370.2;0;0;0;2720.27809;0;0
Onderwijs;38876044;0;0;0;164.233831;0;0
Industrie;41055356.6;0;0;0;431.749412;0;0
Bijeenkomst;33356566.1;0;0;0;59073.0054;0;0
Sport;13129550;0;0;0;0;0;0
overige_gebruiks;37147693.7;0;0;0;0;0;0
Cel;891728.049;0;0;0;3428.33315;0;0
