UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71237077.3;11743369.8;4147764.44;0;3024468.82;3527968.28;48227042.9
Winkel;52719860.9;5260086.51;2169344.2;0;931453.202;2274933.32;42084006.5
Gezondheidszorg;21546293;1554045.64;1417762.07;0;531394.188;2388514.54;15571682.4
Logies;14528370.2;689121.221;231071.64;0;985119.743;844974.797;11775362.5
Onderwijs;38876044;3670287.08;498853.095;0;121628.237;3281899.09;31303212.3
Industrie;41055356.6;2496445.86;228682.52;0;320281.889;2654895.33;35354619.3
Bijeenkomst;33356566.1;3415700.89;887023.084;0;541913.565;1569115.73;26883739.8
Sport;13129550;595877.801;81528.3123;0;93389.2028;882479.262;11476275.5
overige_gebruiks;37147693.7;4319620.67;642481.067;0;361663.586;3117496.87;28706431.5
Cel;891728.049;116463;0;0;52979;111789.742;607067.974
