Afnemer;Totaal;Input;Netto;Woning;UitlegWoning;Utiliteit;UitlegUtil;Glastuinbouw;UitlegGlTb;RestWarmte;GeoThermie;WKO;WijkWKK;BioWKK;Subsidie
[];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr];[ peta J per Yr]
GebouwVerbetering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LokaleOpwekking;48.8379096;0;48.8379096;0;0;0;0;0;0;32.8502363;8.81876669;0;0;7.16890663;0
Gas;413.01936;0;413.01936;245.899696;10.2350014;67.4512669;4.24241625;72.4759305;0;8.87844223;2.38345046;0;0;1.45315675;0
Elektra;272.807654;0;272.807654;76.1076961;25.3570894;122.398305;13.0643544;24.9328722;0;0;0;12.7395632;0;-1.79222666;0
RestWarmte;32.8502363;41.7286785;-8.87844223;10.9297479;1.98217832;12.5146254;0.196292833;7.22739187;0;0;0;0;0;0;0
GeoThermie;8.81876669;11.2022171;-2.38345046;1.94649727;0.0814738282;6.70992073;0.048529867;0.0323450005;0;0;0;0;0;0;0
WKO;34.1799212;12.7395632;21.4403581;0;29.413036;4.76622323;0.000661932338;0;0;0;0;0;0;0;0
WijkWKK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BioWKK;5.37667997;6.82983672;-1.45315675;0.847706603;0.0370632431;4.4646997;0.025568695;0.00164173179;0;0;0;0;0;0;0
Onderhoud & Verbruik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2 Heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energie heffing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RisicoPremie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
