UtiliteitsType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
Kantoor;71237077.3;13656977.1;5960194.37;0;4356864.12;3524091.76;39609975.2
Winkel;52719860.9;6050752.94;3664460.92;0;2115964.93;2273117.4;38615108.1
Gezondheidszorg;21546293;1518720.12;2174584.92;0;926188.384;2384497.9;13842218.7
Logies;14528370.2;862079.6;380850.234;0;1299746.14;899397.429;10399000.2
Onderwijs;38876044;3757714.36;1114999.49;0;260980.767;3395437.44;30343216.2
Industrie;41055356.6;2924832.57;941882.357;0;746656.689;5081747.09;31343607.6
Bijeenkomst;33356566.1;3611110.31;1378327.82;0;973972.655;1640749.73;19035752.6
Sport;13129550;707601.784;181907.74;0;188568.602;920827.881;11130644
overige_gebruiks;37147693.7;4533574.28;1327604.3;0;671348.871;3189822.97;27425343.2
Cel;891728.049;116463;21609;0;28904;285004.271;430932.094
