GlasTuinBouwType;Aantal;Restwarmte;GeoThermie;WijkWKK;BioWKK;WKO;Aardgas
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
onbekend;0;0;0;0;0;0;0
Glastuinbouw_groente_verwarmd;42826071;4301686;21531;0;84;0;38502770
Glastuinbouw_groente_onverwarmd;2416531;37535;660;0;4;0;2378332
Glastuinbouw_groente_belicht;2856394;434874;1172;0;0;0;2420348
Glastuinbouw_groente_onbelicht;42386208;3904347;21019;0;88;0;38460754
Glastuinbouw_bloemen_verwarmd;44166369;3602655;11017;0;1822;0;40550875
Glastuinbouw_bloemen_onverwarmd;2734481;161262;981;0;248;0;2571990
Glastuinbouw_bloemen_belicht;15845669;1442422;3099;0;300;0;14399848
Glastuinbouw_bloemen_onbelicht;31055181;2321495;8899;0;1770;0;28723017
Glastuinbouw_overig_verwarmd;1684975;26659;2026;0;0;0;1656290
Glastuinbouw_overig_onverwarmd;2054529;22485;124;0;296;0;2031624
Glastuinbouw_overig_belicht;0;0;0;0;0;0;0
Glastuinbouw_overig_onbelicht;0;0;0;0;0;0;0
